1417. tablet    แท็บเล็ต (n.)
1418. smartphone    สมาร์ทโฟน (n.)
1419. phone    โทรศัพท์ (n.)
1420. telephone    โทรศัพท์ (n.)
1421. mobile    มือถือ (n.)
1422. cell    มือถือ (n.)
1423. internet    อินเทอร์เน็ต (n.)
1424. web    เว็บ (n.)
1425. website    เว็บไซต์ (n.)
1426. page    หน้า (n.)
1427. site    เว็บไซต์ (n.)
1428. online    ออนไลน์ (adj./adv.)
1429. offline    ออฟไลน์ (adj./adv.)
1430. digital    ดิจิทลั (adj.)
1431. analog    อนาล็อก (adj.)
1432. electronic    อิเล็กทรอนิกส์ (adj.)
1433. email    อีเมล (n.)
1434. message    ข้อความ (n.)
1435. text    ข้อความ (n.)
1436. chat    แชท (n./v.)
1437. post    โพสต์ (n./v.)
1439. social media    โซเชียลมีเดีย (n.)
1440. network    เครือข่าย (n.)
1441. connection    การเชื่อมต่อ (n.)
1442. link    ลิงก์ (n.)
1443. download    ดาวน์โหลด (v./n.)
1444. upload    อัปโหลด (v./n.)
1445. file    ไฟล์ (n.)
1446. folder    โฟลเดอร์ (n.)
1447. document    เอกสาร (n.)
1448. data    ข้อมูล (n.)
1449. information    ข้อมูล (n.)
1450. database    ฐานข้อมูล (n.)
1451. software    ซอฟต์แวร์ (n.)
1452. hardware    ฮาร์ดแวร์ (n.)
1453. program    โปรแกรม (n.)
1454. application    แอปพลิเคชัน (n.)
1455. app    แอป (n.)
1456. system    ระบบ (n.)
1458. platform    แพลตฟอร์ม (n.)
1459. interface    อินเทอร์เฟซ (n.)
1460. screen    หน้าจอ (n.)
1461. display    จอแสดงผล (n.)
1462. monitor    จอภาพ (n.)
1463. keyboard    คียบ (n.)
1464. mouse    เมาส์ (n.)
1465. cursor    เคอร์เซอร์ (n.)
1466. click    คลิก (v./n.)
1467. type    พิมพ์ (v.)
1468. print    พิมพ์ (v.)
1469. printer    เครื่องพิมพ์ (n.)
1470. scan    สแกน (v.)
1471. scanner    สแกนเนอร์ (n.)
1472. copy    คัดลอก (v./n.)
1473. paste    วาง (v.)
1474. delete    ลบ (v.)
1475. save    บันทึก (v.)
1476. backup    สารอง (n./v.)
1477. update    อัปเดต (v./n.)
1478. upgrade    อัปเกรด (v./n.)
1479. install    ติดตัง้ (v.)
1480. uninstall    ถอนการติดตัง้ (v.)
1482. state    รัฐ (n.)
1483. nation    ประเทศชาติ (n.)
1484. country    ประเทศ (n.)
1485. federal    รัฐบาลกลาง (adj.)
1486. national    แห่งชาติ (adj.)
1487. public    สาธารณะ (adj.)
1488. private    ส่วนตัว (adj.)
1489. civil    พลเรือน (adj.)
1490. political    ทางการเมือง (adj.)
1491. politics    การเมือง (n.)
1492. policy    นโยบาย (n.)
1493. administration    การบริหาร (n.)
1494. authority    อานาจ (n.)
1495. power    อานาจ (n.)
1496. control    การควบคุม (n./v.)
1497. rule    กฎ, ปกครอง (n./v.)
1498. govern    ปกครอง (v.)
1499. regulate    ควบคุม (v.)
1500. regulation    ข้อบังคับ (n.)
1501. law    กฎหมาย (n.)
1502. legal    ถูกกฎหมาย (adj.)
1503. illegal    ผิดกฎหมาย (adj.)
