2651. get up    ตื่นนอน (v.)
2652. wake up    ตื่นขึน้ (v.)
2653. sit down    นั่งลง (v.)
2654. stand up    ยืนขึน้ (v.)
2655. lie down    นอนลง (v.)
2656. get in    เข้าไป (v.)
2657. get out    ออกมา (v.)
2658. come in    เข้ามา (v.)
2659. go out    ออกไป (v.)
2660. put on    สวมใส่ (v.)
2661. take off    ถอดออก (v.)
2662. turn on    เปิ ด (v.)
2663. turn off    ปิ ด (v.)
2664. look at    มองที่ (v.)
2665. look for    มองหา (v.)
2666. look up    มองขึน้ (v.)
2667. look down    มองลง (v.)
2668. look after    ดูแล (v.)
2669. look forward to    รอคอย (v.)
2670. pick up    หยิบขึน้ (v.)
2671. put down    วางลง (v.)
2672. give up    ยอมแพ้ (v.)
2673. give in    ยอมแพ้ (v.)
2674. give away    แจกให้ (v.)
2675. give back    คืนให้ (v.)
2676. take away    เอาไป (v.)
2677. take back    เอากลับ (v.)
2678. bring up    เลีย้ งดู (v.)
2679. grow up    เติบโต (v.)
2680. show up    ปรากฏตัว (v.)
2681. turn up    ปรากฏตัว (v.)
2682. make up    แต่งหน้า (v.)
2683. break up    เลิกกัน (v.)
2684. break down    เสีย (v.)
2685. calm down    สงบลง (v.)
2686. slow down    ชะลอลง (v.)
2687. speed up    เร่งความเร็ว (v.)
2688. hurry up    รีบเร็ว (v.)
2689. clean up    ทาความสะอาด (v.)
2690. tidy up    จัดระเบียบ (v.)
2691. dress up    แต่งตัว (v.)
2692. warm up    อุ่นเครื่อง (v.)
2693. cool down    เย็นลง (v.)
2694. settle down    ตัง้ รกราก (v.)
2695. work out    ออกกาลังกาย (v.)
2696. figure out    คิดออก (v.)
2697. find out    พบว่า (v.)
2698. carry out    ดาเนินการ (v.)
2699. point out    ชีใ้ ห้เห็น (v.)
2700. set up    ตัง้ ค่า (v.)
2701. set off    ออกเดินทาง (v.)
2702. set out    เริ่มต้น (v.)
2703. go on    ดาเนินต่อ (v.)
2704. carry on    ทาต่อไป (v.)
2705. hold on    รอสักครู (v.)
2706. hang on    รอสักครู (v.)
2707. move on    ก้าวต่อไป (v.)
2708. pass on    ส่งต่อ (v.)
2709. hand in    ส่งงาน (v.)
2710. hand out    แจก (v.)
2711. fill in    กรอก (v.)
2712. fill out    กรอกแบบฟอร์ม (v.)
2713. check in    เช็คอิน (v.)
2714. check out    เช็คเอาท์ (v.)
2715. log in    ล็อกอิน (v.)
2716. log out    ออกจากระบบ (v.)
2717. sign in    ลงชื่อเข้า (v.)
2718. sign up    ลงทะเบียน (v.)
2719. sign out    ลงชื่อออก (v.)
2720. run into    เจอโดยบังเอิญ (v.)
2721. come across    เจอโดยบังเอิญ (v.)
2722. run out    หมด (v.)
2723. use up    ใช้หมด (v.)
2724. eat up    กินหมด (v.)
2725. drink up    ดื่มหมด (v.)
2726. finish off    ทาเสร็จ (v.)
2727. sort out     จัดการ (v.)
2728. work on    ทางานกับ (v.)
2729. focus on    มุง่ เน้นที่ (v.)
2730. depend on    ขึน้ อยู่กบ (v.)
2731. rely on    พึง่ พา (v.)
2732. count on    วางใจ (v.)
2733. deal with    จัดการกับ (v.)
2734. cope with    รับมือกับ (v.)
2735. agree with    เห็นด้วยกับ (v.)
2736. disagree with    ไม่เห็นด้วยกับ (v.)
2737. talk about    พูดเกี่ยวกับ (v.)
2738. think about    คิดเกี่ยวกับ (v.)
2739. worry about    กังวลเกี่ยวกับ (v.)
2740. care about    ใส่ใจเกี่ยวกับ (v.)
2741. hear about    ได้ยินเกี่ยวกับ (v.)
2742. know about    รูเ้ กี่ยวกับ (v.)
2743. learn about    เรียนรูเ้ กี่ยวกับ (v.)
2744. read about    อ่านเกี่ยวกับ (v.)
2745. write about    เขียนเกี่ยวกับ (v.)
2746. ask for    ขอ (v.)
2747. wait for    รอ (v.)
2748. search for    ค้นหา (v.)
2749. look into    ตรวจสอบ (v.)
2750. get over    ผ่านพ้น (v.)
2765. adopt    นามาใช้ (v.)
2766. adoption    การนามาใช้ (n.)
2767. advocate    สนับสนุน (v./n.)
2768. affect    ส่งผลกระทบ (v.)
2769. allocate    จัดสรร (v.)
2770. allocation    การจัดสรร (n.)
2771. alter    เปลี่ยนแปลง (v.)
2772. alternative    ทางเลือก (n./adj.)
2773. ambiguous    คลุมเครือ (adj.)
2774. amend    แก้ไข (v.)
2775. amendment    การแก้ไข (n.)
2776. analogous    คล้ายคลึง (adj.)
2777. analogy    การเปรียบเทียบ (n.)
2778. anticipate    คาดการณ์ (v.)
2779. apparent    ชัดเจน (adj.)
2780. append    แนบท้าย (v.)
2781. appendix    ภาคผนวก (n.)
2782. appreciate    ชื่นชม (v.)
2783. approach    วิธีการ (n./v.)
